County,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
Barbour,73041,895427,1531624,1617086,1420561,1853223,3092728,3505193,3659797,2575561,743757,1730711
Berkeley,0,0,0,0,0,0,0,0,0,0,0,0
Boone,0,50566,1477560,3045056,3804527,5851267,6278609,11607216,13842525,27618152,32446186,23277998
Braxton,0,114422,286955,123991,13751,38414,218087,0,459517,3256906,1196489,439662
Brooke,92659,433660,1361652,1569331,1883654,1359223,468464,1051223,848932,1671133,1900198,0
Cabell,0,0,0,0,0,0,0,0,0,0,0,0
Calhoun,0,0,0,0,0,0,0,0,0,0,0,0
Clay,0,36306,498427,731818,782124,1074153,885584,43221,160341,671401,5288173,1934377
Doddridge,0,0,0,0,0,0,0,0,0,0,0,0
Fayette,4542161,9389512,7631375,11763334,12442500,10097493,4402741,5222442,2242088,3698499,4007713,3285557
Gilmer,0,32255,97238,7787,13435,147409,1008317,94797,70823,52245,0,0
Grant,0,217499,236187,2519,0,36349,94026,2569381,2447701,4124028,720907,4753
Greenbrier,0,21688,52398,2032482,1607500,1645187,641000,440397,779932,1067738,552434,911782
Hampshire,0,0,0,0,0,0,0,0,0,0,0,0
Hancock,47013,75884,0,27360,154070,25575,1200,31898,0,0,0,0
Hardy,0,0,0,0,0,0,0,0,0,0,0,0
Harrison,646428,4608124,5083339,5223165,3958622,6237327,6243500,7097109,3442054,2692094,7269468,598791
Jackson,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0
Kanawha,1335303,5778955,5407454,6305397,7427945,8428494,9288017,11971706,8764425,7423289,14776832,10412331
Lewis,0,20906,66499,11065,0,11253,542886,687333,810801,317828,0,0
Lincoln,0,68893,240843,61389,0,33114,25666,0,210834,0,2484128,2115797
Logan,0,2193717,9824572,17765274,17102124,18863032,15934717,13311908,10754143,17796900,8639851,13760708
Marion,2942804,4210623,4887843,7455846,9020083,8553858,9047433,9156111,5338660,5965761,12717,11368503
Marshall,242176,475434,947602,1283419,521113,525479,2475282,5161974,5101386,8001136,10337691,14215132
Mason,70462,135189,180833,53201,54193,496476,563874,457340,644,229011,0,157799
McDowell,4141316,9142945,15766597,20788333,25657984,20780880,14802004,16466540,10161241,7555295,4504956,5200158
Mercer,1046938,2542867,2220036,4012569,3787529,1980110,677177,1095417,745745,0,0,71058
Mineral,562667,858673,466030,265002,138995,49474,72720,273062,372655,320559,45081,76001
Mingo,366695,2023748,2650511,5192513,3430430,5767194,5871337,2964968,5702266,20905089,21980467,11663333
Monongalia,82148,414992,2792183,7099887,7906864,9160053,7097104,12523361,12764780,18509399,11844603,9895869
Monroe,0,0,0,0,0,0,0,0,0,0,0,0
Morgan,0,0,0,0,0,0,0,0,0,0,0,0
Nicholas,0,59445,233602,124389,20941,3056385,4784316,6839916,5513722,8934556,5076463,3623144
Ohio,96610,252975,1057890,2219617,1703413,1473488,1308617,2625415,1368903,258273,0,287054
Pendleton,0,0,0,0,0,0,0,0,0,0,0,0
Pleasants,0,0,0,0,0,0,0,0,0,0,0,0
Pocahontas,0,0,0,0,0,96516,362924,42019,0,141,0,0
Preston,403610,1033903,1696421,1600755,753586,2172645,2882567,2470330,2809038,4093944,1242730,88443
Putnam,203449,458229,328791,387982,570022,40015,85100,15,0,0,0,0
Raleigh,68860,3419723,6997601,14241039,15467945,11264022,7124177,9811230,6838064,6747112,10207852,10457144
Randolph,23603,700290,789942,391468,1054708,1136230,1139382,629243,1237089,1549468,0,901503
Ritchie,0,0,0,0,0,0,0,0,0,0,0,0
Roane,0,0,0,0,0,0,0,0,0,0,0,0
Summers,0,0,30029,0,0,0,0,21429,0,0,0,0
Taylor,376030,583222,1048187,1269915,314053,120251,232135,219101,65583,38936,0,0
Tucker,1098874,1080367,938270,918753,537468,177189,75580,300044,185356,438260,151338,2425597
Tyler,0,0,0,0,0,0,0,0,0,0,0,0
Upshur,0,70396,526981,266212,115490,652972,1053165,879319,3749740,1653015,2927038,567939
Wayne,0,41464,69916,118422,8968,206719,56377,98226,406216,1233381,7027123,4740482
Webster,0,0,7371,439825,1032332,1485005,523256,255530,618928,2413420,4388296,4259705
Wetzel,0,0,0,0,0,0,0,0,0,0,0,0
Wirt,0,0,0,0,0,0,0,0,0,0,0,0
Wood,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming,0,0,1270782,2238864,3441053,5141117,10747825,13207870,10129833,9342523,9598111,4472775
